product_link,product_savings,image_url,title,indigo_link,author,book_type,availability_value,strike_price,listprice_label,prominent_price,release_year,category,description
https://www.chapters.indigo.ca/en-ca/books/cravings-recipes-for-all-the/9781101903919-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a1%3a,save 23%,https://dynamic.indigoimages.ca/books/1101903910.jpg?width=140&quality=85&maxheight=180&sale=23&lang=en&z=2.31.2.2.31.1.10069-8,Cravings: Recipes For All The Food You Want To Eat,https://www.chapters.indigo.ca/en-ca/books/cravings-recipes-for-all-the/9781101903919-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a1%3a,Chrissy Teigen,Hardcover,In stock online,38.99,list price,30,1985,romance,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. Praesent mauris ante, elementum et, bibendum at, posuere sit amet, nibh. Duis tincidunt lectus quis dui viverra vestibulum. Suspendisse vulputate aliquam dui. Nulla elementum dui ut.       Augue. Aliquam vehicula mi at mauris. Maecenas placerat, nisl at consequat rhoncus, sem nunc gravida justo, quis eleifend arcu velit quis lacus. Morbi magna magna, tincidunt a, mattis non, imperdiet vitae, tellus. Sed odio est, auctor ac, sollicitudin in, consequat vitae, orci. Fusce id felis. Vivamus sollicitudin metus eget eros. Pellentesque habitant morbi."
https://www.chapters.indigo.ca/en-ca/books/when-breath-becomes-air/9780812988406-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a2%3a,save 24%,https://dynamic.indigoimages.ca/books/081298840x.jpg?width=140&quality=85&maxheight=180&sale=24&lang=en&z=2.31.2.2.31.1.10069-8,When Breath Becomes Air,https://www.chapters.indigo.ca/en-ca/books/when-breath-becomes-air/9780812988406-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a2%3a,Paul Kalanithi,Hardcover,In stock online,33,list price,25,1986,fiction,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. Praesent mauris ante, elementum et, bibendum at, posuere sit amet, nibh. Duis tincidunt lectus quis dui viverra vestibulum. Suspendisse vulputate aliquam dui. Nulla elementum dui ut.       Augue. Aliquam vehicula mi at mauris. Maecenas placerat, nisl at consequat rhoncus, sem nunc gravida justo, quis eleifend arcu velit quis lacus. Morbi magna magna, tincidunt a, mattis non, imperdiet vitae, tellus. Sed odio est, auctor ac, sollicitudin in, consequat vitae, orci. Fusce id felis. Vivamus sollicitudin metus eget eros. Pellentesque habitant morbi."
https://www.chapters.indigo.ca/en-ca/books/cometh-the-hour-a-novel/9781250061621-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a3%3a,save 23%,https://dynamic.indigoimages.ca/books/1250061628.jpg?width=140&quality=85&maxheight=180&sale=23&lang=en&z=2.31.2.2.31.1.10069-8,Cometh The Hour: A Novel,https://www.chapters.indigo.ca/en-ca/books/cometh-the-hour-a-novel/9781250061621-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a3%3a,Jeffrey Archer,Hardcover,In stock online,32.5,list price,25,1987,health,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. Praesent mauris ante, elementum et, bibendum at, posuere sit amet, nibh. Duis tincidunt lectus quis dui viverra vestibulum. Suspendisse vulputate aliquam dui. Nulla elementum dui ut.       Augue. Aliquam vehicula mi at mauris. Maecenas placerat, nisl at consequat rhoncus, sem nunc gravida justo, quis eleifend arcu velit quis lacus. Morbi magna magna, tincidunt a, mattis non, imperdiet vitae, tellus. Sed odio est, auctor ac, sollicitudin in, consequat vitae, orci. Fusce id felis. Vivamus sollicitudin metus eget eros. Pellentesque habitant morbi."
https://www.chapters.indigo.ca/en-ca/books/smarter-faster-better/9780385680912-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a4%3a,save 28%,https://dynamic.indigoimages.ca/books/0385680910.jpg?width=140&quality=85&maxheight=180&sale=28&lang=en&z=2.31.2.2.31.1.10069-8,Smarter Faster Better,https://www.chapters.indigo.ca/en-ca/books/smarter-faster-better/9780385680912-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a4%3a,Charles Duhigg,Hardcover,In stock online,35,list price,25,1988,biography,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. Praesent mauris ante, elementum et, bibendum at, posuere sit amet, nibh. Duis tincidunt lectus quis dui viverra vestibulum. Suspendisse vulputate aliquam dui. Nulla elementum dui ut.       Augue. Aliquam vehicula mi at mauris. Maecenas placerat, nisl at consequat rhoncus, sem nunc gravida justo, quis eleifend arcu velit quis lacus. Morbi magna magna, tincidunt a, mattis non, imperdiet vitae, tellus. Sed odio est, auctor ac, sollicitudin in, consequat vitae, orci. Fusce id felis. Vivamus sollicitudin metus eget eros. Pellentesque habitant morbi."
https://www.chapters.indigo.ca/en-ca/books/the-happiness-equation-want-nothing/9780399169472-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a5%3a,save 42%,https://dynamic.indigoimages.ca/books/0399169474.jpg?width=140&quality=85&maxheight=180&sale=42&lang=en&z=2.31.2.2.31.1.10069-8,The Happiness Equation: Want Nothing   Do Anything = Have Everything,https://www.chapters.indigo.ca/en-ca/books/the-happiness-equation-want-nothing/9780399169472-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a5%3a,Neil Pasricha,Hardcover,In stock online,35,list price,20,1989,romance,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. Praesent mauris ante, elementum et, bibendum at, posuere sit amet, nibh. Duis tincidunt lectus quis dui viverra vestibulum. Suspendisse vulputate aliquam dui. Nulla elementum dui ut.       Augue. Aliquam vehicula mi at mauris. Maecenas placerat, nisl at consequat rhoncus, sem nunc gravida justo, quis eleifend arcu velit quis lacus. Morbi magna magna, tincidunt a, mattis non, imperdiet vitae, tellus. Sed odio est, auctor ac, sollicitudin in, consequat vitae, orci. Fusce id felis. Vivamus sollicitudin metus eget eros. Pellentesque habitant morbi."
https://www.chapters.indigo.ca/en-ca/books/dark-money-the-hidden-history/9780385535595-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a6%3a,save 22%,https://dynamic.indigoimages.ca/books/0385535597.jpg?width=140&quality=85&maxheight=180&sale=22&lang=en&z=2.31.2.2.31.1.10069-8,Dark Money: The Hidden History Of The Billionaires Behind The Rise Of The Radical Right,https://www.chapters.indigo.ca/en-ca/books/dark-money-the-hidden-history/9780385535595-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a6%3a,Jane Mayer,Hardcover,In stock online,38.95,list price,30,1990,fiction,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. Praesent mauris ante, elementum et, bibendum at, posuere sit amet, nibh. Duis tincidunt lectus quis dui viverra vestibulum. Suspendisse vulputate aliquam dui. Nulla elementum dui ut.       Augue. Aliquam vehicula mi at mauris. Maecenas placerat, nisl at consequat rhoncus, sem nunc gravida justo, quis eleifend arcu velit quis lacus. Morbi magna magna, tincidunt a, mattis non, imperdiet vitae, tellus. Sed odio est, auctor ac, sollicitudin in, consequat vitae, orci. Fusce id felis. Vivamus sollicitudin metus eget eros. Pellentesque habitant morbi."
https://www.chapters.indigo.ca/en-ca/books/at-the-existentialist-caf%c3%a9-freedom/9780345810953-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a7%3a,save 26%,https://dynamic.indigoimages.ca/books/0345810953.jpg?width=140&quality=85&maxheight=180&sale=26&lang=en&z=2.31.2.2.31.1.10069-8,"At The Existentialist Cafí©: Freedom, Being And Apricot Cocktails",https://www.chapters.indigo.ca/en-ca/books/at-the-existentialist-caf%c3%a9-freedom/9780345810953-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a7%3a,Sarah Bakewell,Hardcover,In stock online,34,list price,25,1991,health,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. Praesent mauris ante, elementum et, bibendum at, posuere sit amet, nibh. Duis tincidunt lectus quis dui viverra vestibulum. Suspendisse vulputate aliquam dui. Nulla elementum dui ut.       Augue. Aliquam vehicula mi at mauris. Maecenas placerat, nisl at consequat rhoncus, sem nunc gravida justo, quis eleifend arcu velit quis lacus. Morbi magna magna, tincidunt a, mattis non, imperdiet vitae, tellus. Sed odio est, auctor ac, sollicitudin in, consequat vitae, orci. Fusce id felis. Vivamus sollicitudin metus eget eros. Pellentesque habitant morbi."
https://www.chapters.indigo.ca/en-ca/books/pretty-happy-healthy-ways-to/9780062434234-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a8%3a,save 25%,https://dynamic.indigoimages.ca/books/0062434233.jpg?width=140&quality=85&maxheight=180&sale=25&lang=en&z=2.31.2.2.31.1.10069-8,Pretty Happy: Healthy Ways to Love Your Body,https://www.chapters.indigo.ca/en-ca/books/pretty-happy-healthy-ways-to/9780062434234-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a8%3a,Kate Hudson,Hardcover,In stock online,33.5,list price,25,1992,biography,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. Praesent mauris ante, elementum et, bibendum at, posuere sit amet, nibh. Duis tincidunt lectus quis dui viverra vestibulum. Suspendisse vulputate aliquam dui. Nulla elementum dui ut.       Augue. Aliquam vehicula mi at mauris. Maecenas placerat, nisl at consequat rhoncus, sem nunc gravida justo, quis eleifend arcu velit quis lacus. Morbi magna magna, tincidunt a, mattis non, imperdiet vitae, tellus. Sed odio est, auctor ac, sollicitudin in, consequat vitae, orci. Fusce id felis. Vivamus sollicitudin metus eget eros. Pellentesque habitant morbi."
https://www.chapters.indigo.ca/en-ca/books/the-piano-maker/9780771071287-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a9%3a,save 12%,https://dynamic.indigoimages.ca/books/0771071280.jpg?width=140&quality=85&maxheight=180&sale=12&lang=en&z=2.31.2.2.31.1.10069-8,The Piano Maker,https://www.chapters.indigo.ca/en-ca/books/the-piano-maker/9780771071287-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a9%3a,Kurt Palka,Trade Paperback,In stock online,22.95,list price,20,1993,romance,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. Praesent mauris ante, elementum et, bibendum at, posuere sit amet, nibh. Duis tincidunt lectus quis dui viverra vestibulum. Suspendisse vulputate aliquam dui. Nulla elementum dui ut.       Augue. Aliquam vehicula mi at mauris. Maecenas placerat, nisl at consequat rhoncus, sem nunc gravida justo, quis eleifend arcu velit quis lacus. Morbi magna magna, tincidunt a, mattis non, imperdiet vitae, tellus. Sed odio est, auctor ac, sollicitudin in, consequat vitae, orci. Fusce id felis. Vivamus sollicitudin metus eget eros. Pellentesque habitant morbi."
https://www.chapters.indigo.ca/en-ca/books/the-name-of-god-is/9780399588631-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a10%3a,save 41%,https://dynamic.indigoimages.ca/books/0399588639.jpg?width=140&quality=85&maxheight=180&sale=41&lang=en&z=2.31.2.2.31.1.10069-8,The Name Of God Is Mercy: A Conversation With Andrea Tornielli,https://www.chapters.indigo.ca/en-ca/books/the-name-of-god-is/9780399588631-item.html?ref=by-shop%3abooks%3aholiday15-hot100%3aalcove-books-carousel%3a10%3a,Pope Francis,Hardcover,In stock online,34,list price,20,1994,fiction,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. Praesent mauris ante, elementum et, bibendum at, posuere sit amet, nibh. Duis tincidunt lectus quis dui viverra vestibulum. Suspendisse vulputate aliquam dui. Nulla elementum dui ut.       Augue. Aliquam vehicula mi at mauris. Maecenas placerat, nisl at consequat rhoncus, sem nunc gravida justo, quis eleifend arcu velit quis lacus. Morbi magna magna, tincidunt a, mattis non, imperdiet vitae, tellus. Sed odio est, auctor ac, sollicitudin in, consequat vitae, orci. Fusce id felis. Vivamus sollicitudin metus eget eros. Pellentesque habitant morbi."
